id;question;optiona;optionb;typeid
1;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Lebih memilih berkomunikasi dengan menulis;Menemukan dan mengembangkan ide dengan mendiskusikannya;1
2;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Menemukan dan mengembangkan ide dengan merenungkannya;Lebih berkomunikasi dengan bicara;1
3;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Beriorientasi pada dunia interal (memori, pemikiran, ide);Berorientasi pada dunia eksternal (kegiatan, orang);1
4;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Berhati-hati,penuh pertimbangan,kaku;Spontan,easy going,fleksibel;1
5;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Lebih memilih tempat yang tenang dan pribadi untuk berkonsentrasi;Lebih memilih tempat yang ramai dan banyak interaksi / aktifitas;1
6;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Fokus pada sedikit hobi namun mendalam;Fokus pada banyak hobi secara luas dan umum;1
7;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Tertutup dan mandiri;Sosial dan ckspresif;1
8;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Pertemuan dengan orang lain dan aktivitas sosial melelahkan;Bertemu orang dan aktivitas sosialmembuat bersemangat;1
9;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Beraktifitas sendirian dirumah menyenangkan;Beraktifitas sendirian dirumah membosankan;1
10;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Berinisiatif bila situasi memaksa atau berhuhungan dengan kepentingan sendiri;Lebih memilih tempat yang tenang dan pribadi untuk berkonsentrasi;1
11;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Berpikir secara matang sebelum bertindak;Berani bertindak tanpa terlalu lama berfikir;1
12;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Menyimpan semangat dalam hati;Mengekspresikan semangat;1
13;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Mencari kesempatan untuk berkomunikasi secara perorangan;Memilih berkomunikasi pada sekelompok orang;1
14;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Lebih suka berkomunikasi tidak langsung (telp, surat, e-mail);Lebih suka berkomunikasi langsung (tatap muka);1
15;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Membangun ide dengan matang baru membicarakannya;Membangun ide pada saat berbicara;1
16;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Bergerak dari detail ke gambaran umum sebagai kesimpulan;Bergerak dari gambaran umum baru ke detail;2
17;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Berbicara mengenai masalah yang dihadapi hari ini dan langkah-langkah praktis untuk mengatasinya;Lebih Berbicara mengenai visi misi masa depan dan konsep-konsep mengenai visi tersebut;2
18;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Menggunakan pengalaman sebagai pedoman;Menggunakan imajinasi dan perenungan sebgai pedoman;2
19;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;SOP sangat membantu;SOP sangat membosankan;2
20;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Prosedural dan tradisional;Bebas dan dinamis;2
21;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;PertemuanMemilih fakta lebih penting daripada ide inspirasif;Memilih ide inspirasif lebih penting daripada fakta;2
22;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Kontinuitas dan stabilitas lebih diutamakan;Perubahan dan variasi lebih diutamankan;2
23;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Bertindak step by step dengan timeframe yang jelas;Bertindak dengan semangat tanpa menggunakan timeframe;2
24;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Menarik kesimpulan dengan lama dan hati-hati;Menarik kesimpulan dengan cepat sesuai naluri;2
25;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Mengkarifikasi ide dan teori sebelum dipraktekan;Memahami ide dan teori saat mempraktekannya;2
26;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Berfokus pada masa kini(apa yang bisa diperbaiki sekarang);Berfokus pada masa depan(apa yang mungkin dicapai dimasa depan);2
27;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Secara konsisten mengamati dan mengingat detail;Mengamati dan mengingat detail hanya bila berhubungan dengan pola;2
28;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Praktis;Konseptual;2
29;Pilihlah salah satu yang sesuai dengan kepribadiaan anda;Menggunakan ketrampilan yang sudah ada;Menyukai tantangan untuk menguasai keterampilan baru;2
